RANKDetermined by total points. The athlete with the most points wins.,NAME,POINTSThe sum of the points awarded for each workout. Based on a points table.,EVENT 1,EVENT 2,EVENT 3,EVENT 4,EVENT 5,EVENT 6
1,"NOAHOHLSEN
South East
Age 27
5'7"" | 190 lbs
View Profile",488,7th(38:36.88)72 pts(38:36.88),11th(14:41.47)58 pts(14:41.47),1st(7:40.84)100 pts(7:40.84),2nd(5:37.74)94 pts(5:37.74),5th(15:29.68)80 pts(15:29.68),4th(3:44.57)84 pts(3:44.57)
2,"JOHNCOLTEY
South East
Age 29
5'9"" | 195 lbs
View Profile",452,10th(39:25.99)60 pts(39:25.99),1st(12:45.95)100 pts(12:45.95),9th(10:19.70)64 pts(10:19.70),10th(6:03.29)60 pts(6:03.29),8th(15:57.14)68 pts(15:57.14),1st(3:37.04)100 pts(3:37.04)
3,"BENSMITH
Mid Atlantic
Age 28
5'11"" | 195 lbs
View Profile",448,11th(39:45.54)58 pts(39:45.54),6th(14:18.40)76 pts(14:18.40),5th(9:27.63)80 pts(9:27.63),17th(6:14.66)46 pts(6:14.66),2nd(15:03.22)94 pts(15:03.22),2nd(3:42.37)94 pts(3:42.37)
4,"ALECSMITH
Mid Atlantic
Age 25
5'11"" | 185 lbs
View Profile",434,12th(39:46.07)56 pts(39:46.07),18th(16:01.77)44 pts(16:01.77),2nd(7:47.78)94 pts(7:47.78),7th(5:58.00)72 pts(5:58.00),3rd(15:22.32)88 pts(15:22.32),5th(3:55.84)80 pts(3:55.84)
5,"ETHANHELBIG
Mid Atlantic
Age 22
5'11"" | 220 lbs
View Profile",432,5th(38:25.82)80 pts(38:25.82),7th(14:23.54)72 pts(14:23.54),18th(11:27.24)44 pts(11:27.24),5th(5:40.63)80 pts(5:40.63),4th(15:27.28)84 pts(15:27.28),7th(4:21.45)72 pts(4:21.45)
6,"TRAVISMAYER
South East
Age 27
5'11"" | 195 lbs
View Profile",422,3rd(37:33.83)88 pts(37:33.83),29T(CAP+1)22 pts(CAP+1),8th(9:58.80)68 pts(9:58.80),12th(6:10.10)56 pts(6:10.10),1st(14:47.42)100 pts(14:47.42),3rd(3:43.06)88 pts(3:43.06)
7,"ADAMKLINK
Mid Atlantic
Age 28
6'0"" | 220 lbs
View Profile",352,1st(36:46.03)100 pts(36:46.03),2nd(13:41.33)94 pts(13:41.33),39th(CAP+114)2 pts(CAP+114),23rd(6:45.04)34 pts(6:45.04),7th(15:53.01)72 pts(15:53.01),15th(4:33.55)50 pts(4:33.55)
8,"MITCHWAGNER
South East
Age 29
5'8"" | 185 lbs
View Profile",348,4th(38:07.53)84 pts(38:07.53),5th(14:10.30)80 pts(14:10.30),28th(CAP+5)24 pts(CAP+5),3rd(5:38.52)88 pts(5:38.52),34T(CAP+17)12 pts(CAP+17),10th(4:23.96)60 pts(4:23.96)
9,"NORMANWOODRING
South East
Age 28
6'0"" | 197 lbs
View Profile",326,2nd(36:57.42)94 pts(36:57.42),14th(15:01.76)52 pts(15:01.76),11th(10:22.91)58 pts(10:22.91),28th(7:00.30)24 pts(7:00.30),6th(15:32.00)76 pts(15:32.00),29th(5:23.22)22 pts(5:23.22)
10,"ADAMVINSON
South East
Age 30
5'11"" | 215 lbs
View Profile",324,34th(44:09.74)12 pts(44:09.74),3rd(13:53.76)88 pts(13:53.76),32T(CAP+56)16 pts(CAP+56),4th(5:40.03)84 pts(5:40.03),12th(16:45.89)56 pts(16:45.89),8th(4:22.67)68 pts(4:22.67)
11,"AARONHANNA
South East
Age 29
6'1"" | 210 lbs
View Profile",322,26th(41:08.07)28 pts(41:08.07),17th(15:39.22)46 pts(15:39.22),6th(9:50.78)76 pts(9:50.78),16th(6:13.85)48 pts(6:13.85),16th(CAP+3)48 pts(CAP+3),6th(3:58.98)76 pts(3:58.98)
12,"DANESMITH
Mid Atlantic
Age 22
5'7"" | 175 lbs
View Profile",316,28th(41:26.60)24 pts(41:26.60),39th(CAP+18)2 pts(CAP+18),4th(8:55.36)84 pts(8:55.36),1st(5:32.90)100 pts(5:32.90),13th(16:49.23)54 pts(16:49.23),14th(4:30.70)52 pts(4:30.70)
13,"NATHANBRAMBLETT
Mid Atlantic
Age 27
5'10"" | 184 lbs
View Profile",302,22nd(40:50.64)36 pts(40:50.64),15th(15:27.23)50 pts(15:27.23),3rd(8:46.46)88 pts(8:46.46),22nd(6:44.94)36 pts(6:44.94),21T(CAP+7)38 pts(CAP+7),13th(4:28.76)54 pts(4:28.76)
14,"TIMMUSTION
South East
Age 25
6'0"" | 215 lbs
View Profile",292,6th(38:36.75)76 pts(38:36.75),10th(14:37.69)60 pts(14:37.69),38th(CAP+113)4 pts(CAP+113),11th(6:06.18)58 pts(6:06.18),11th(16:27.00)58 pts(16:27.00),22nd(4:53.56)36 pts(4:53.56)
15,"ZACHARYMOSBARGER
South East
Age 28
5'9"" | 185 lbs
View Profile",284,14th(40:01.02)52 pts(40:01.02),13th(14:59.03)54 pts(14:59.03),25th (CAP)30 pts(CAP),8th(5:58.94)68 pts(5:58.94),15th(16:50.97)50 pts(16:50.97),25th(5:05.57)30 pts(5:05.57)
16,"LOGANSOUTHARD
South East
Age 23
4'8"" | 115 lbs
View Profile",278,21st(40:33.17)38 pts(40:33.17),20th(16:18.20)40 pts(16:18.20),7th(9:51.46)72 pts(9:51.46),13th(6:10.50)54 pts(6:10.50),31st(CAP+11)18 pts(CAP+11),12th(4:27.78)56 pts(4:27.78)
17,"RAYMONDROMANICK
Mid Atlantic
Age 24
5'11"" | 195 lbs
View Profile",260,13th(39:51.81)54 pts(39:51.81),4th(14:07.48)84 pts(14:07.48),15th(11:14.70)50 pts(11:14.70),36th(7:43.50)8 pts(7:43.50),32nd(CAP+14)16 pts(CAP+14),16th(4:36.90)48 pts(4:36.90)
18,"JOSHMABRY
South East
Age 29
5'6"" | 180 lbs
View Profile",260,8th(38:58.85)68 pts(38:58.85),31T(CAP+2)18 pts(CAP+2),16th(11:15.22)48 pts(11:15.22),6th(5:54.85)76 pts(5:54.85),17T(CAP+4)46 pts(CAP+4),38th(6:14.81)4 pts(6:14.81)
19,"JONATHANWALL
South East
Age 28
5'9"" | 199 lbs
View Profile",250,37th(44:37.14)6 pts(44:37.14),26th(16:44.04)28 pts(16:44.04),14th(10:52.82)52 pts(10:52.82),19th(6:15.92)42 pts(6:15.92),9th(16:02.79)64 pts(16:02.79),11th(4:26.66)58 pts(4:26.66)
20,"CONNORDUDDY
Mid Atlantic
Age 25
5'10"" | 185 lbs
View Profile",242,18th(40:13.15)44 pts(40:13.15),40th(CAP+25)0 pts(CAP+25),12th(10:34.64)56 pts(10:34.64),15th(6:12.42)50 pts(6:12.42),14th(16:50.41)52 pts(16:50.41),20th(4:48.21)40 pts(4:48.21)
21,"HENRYSAILES
South East
Age 29
5'7"" | 178 lbs
View Profile",236,20th(40:16.74)40 pts(40:16.74),23rd(16:30.74)34 pts(16:30.74),13th(10:50.98)54 pts(10:50.98),14th(6:12.20)52 pts(6:12.20),29T(CAP+10)22 pts(CAP+10),23rd(4:54.51)34 pts(4:54.51)
22,"RYANREEVES
Mid Atlantic
Age 22
6'0"" | 205 lbs
View Profile",210,33rd(43:59.91)14 pts(43:59.91),21st(16:18.78)38 pts(16:18.78),30T(CAP+55)20 pts(CAP+55),24th(6:46.00)32 pts(6:46.00),19T(CAP+5)42 pts(CAP+5),9th(4:22.91)64 pts(4:22.91)
23,"CHRISKILLIAN
Mid Atlantic
Age 31
5'7"" | 185 lbs
View Profile",198,32nd(43:20.80)16 pts(43:20.80),9th(14:26.05)64 pts(14:26.05),24th(12:38.63)32 pts(12:38.63),21st(6:28.32)38 pts(6:28.32),38T(CAP+20)4 pts(CAP+20),18th(4:45.90)44 pts(4:45.90)
24,"ALEXANDERJOHNSON
South East
Age 25
6'2"" | 203 lbs
View Profile",198,15th(40:02.78)50 pts(40:02.78),28th(CAP)24 pts(CAP),17th(11:25.52)46 pts(11:25.52),37th(7:47.01)6 pts(7:47.01),25T(CAP+9)30 pts(CAP+9),19th(4:46.05)42 pts(4:46.05)
25,"MARCO ALEJANDRODAPKEY
Mid Atlantic
Age 25
6'0"" | 200 lbs
View Profile",196,17th(40:07.82)46 pts(40:07.82),29T(CAP+1)22 pts(CAP+1),32T(CAP+56)16 pts(CAP+56),18th(6:15.89)44 pts(6:15.89),19T(CAP+5)42 pts(CAP+5),27th(5:14.00)26 pts(5:14.00)
26,"ANDREWMCGOVERN
Mid Atlantic
Age 29
5'8"" | 183 lbs
View Profile",194,16th(40:07.08)48 pts(40:07.08),8th(14:25.64)68 pts(14:25.64),23rd(12:38.31)34 pts(12:38.31),35th(7:40.60)10 pts(7:40.60),33rd(CAP+15)14 pts(CAP+15),30th(5:24.56)20 pts(5:24.56)
27,"ZAANDERSON
South East
Age 29
6'2"" | 225 lbs
View Profile",192,19th(40:16.65)42 pts(40:16.65),27th(16:46.85)26 pts(16:46.85),19th(11:31.18)42 pts(11:31.18),32nd(7:08.10)16 pts(7:08.10),10th(16:14.85)60 pts(16:14.85),37th(6:12.68)6 pts(6:12.68)
28,"BRYCELAWLOR
Mid Atlantic
Age 25
5'10"" | 195 lbs
View Profile",182,35th(44:14.40)10 pts(44:14.40),33rd(CAP+3)14 pts(CAP+3),32T(CAP+56)16 pts(CAP+56),9th(6:02.18)64 pts(6:02.18),17T(CAP+4)46 pts(CAP+4),24th(5:03.83)32 pts(5:03.83)
29,"JOSHUAARCONA
Mid Atlantic
Age 28
6'0"" | 214 lbs
View Profile",174,9th(39:24.59)64 pts(39:24.59),34th(CAP+4)12 pts(CAP+4),27th(CAP+2)26 pts(CAP+2),31st(7:05.60)18 pts(7:05.60),36T(CAP+18)8 pts(CAP+18),17th(4:44.40)46 pts(4:44.40)
