RANKDetermined by total points. The athlete with the most points wins.,NAME,POINTSThe sum of the points awarded for each workout. Based on a points table.,EVENT 1,EVENT 2,EVENT 3,EVENT 4,EVENT 5,EVENT 6
1,"MATHEWFRASER
Central East
Age 28
5'7"" | 190 lbs
View Profile",564,9th(39:23.07)64 pts(39:23.07),1st(12:40.54)100 pts(12:40.54),1st(7:34.78)100 pts(7:34.78),1st(5:09.18)100 pts(5:09.18),1st(14:36.82)100 pts(14:36.82),1st(3:17.67)100 pts(3:17.67)
2,"ALEXANDERSON
Central East
Age 28
5'10"" | 205 lbs
View Profile",426,4th(38:46.27)84 pts(38:46.27),7th(14:06.07)72 pts(14:06.07),9th(10:03.17)64 pts(10:03.17),23rd(7:04.38)34 pts(7:04.38),3rd(15:08.18)88 pts(15:08.18),4th(3:33.68)84 pts(3:33.68)
3,"NICHOLASURANKAR
Central East
Age 34
5'10"" | 192 lbs
View Profile",422,10th(39:32.49)60 pts(39:32.49),2nd(13:01.60)94 pts(13:01.60),5th(9:17.27)80 pts(9:17.27),3rd(5:44.78)88 pts(5:44.78),24T(CAP+9)32 pts(CAP+9),8th(3:58.60)68 pts(3:58.60)
4,"SCOTTPANCHIK
Central East
Age 30
5'9"" | 187 lbs
View Profile",406,28th(42:09.31)24 pts(42:09.31),10th(14:10.69)60 pts(14:10.69),3rd(8:20.07)88 pts(8:20.07),4th(5:58.44)84 pts(5:58.44),12th(16:41.22)56 pts(16:41.22),2nd(3:27.54)94 pts(3:27.54)
5,"SAXONPANCHIK
Central East
Age 22
5'9"" | 175 lbs
View Profile",392,16th(40:43.00)48 pts(40:43.00),29T(CAP+3)22 pts(CAP+3),2nd(8:13.49)94 pts(8:13.49),8th(6:12.60)68 pts(6:12.60),7th(15:42.23)72 pts(15:42.23),3rd(3:29.64)88 pts(3:29.64)
6,"NICKBLOCH
North Central
Age 32
6'0"" | 210 lbs
View Profile",388,17th(40:43.92)46 pts(40:43.92),3rd(13:22.04)88 pts(13:22.04),32T(CAP+56)16 pts(CAP+56),9th(6:15.06)64 pts(6:15.06),2nd(14:57.50)94 pts(14:57.50),5th(3:37.01)80 pts(3:37.01)
7,"STREATHOERNER
North Central
Age 23
5'9"" | 198 lbs
View Profile",388,7th(39:01.47)72 pts(39:01.47),5th(13:48.08)80 pts(13:48.08),4th(8:45.04)84 pts(8:45.04),25th(7:11.62)30 pts(7:11.62),6th(15:38.50)76 pts(15:38.50),17th(4:15.37)46 pts(4:15.37)
8,"R. PAULCASTILLO
Central East
Age 28
5'11"" | 200 lbs
View Profile",374,6th(38:56.39)76 pts(38:56.39),20th(16:03.28)40 pts(16:03.28),10th(10:30.06)60 pts(10:30.06),19th(6:57.50)42 pts(6:57.50),4th(15:08.52)84 pts(15:08.52),7th(3:57.78)72 pts(3:57.78)
9,"DREWWAYMAN
Central East
Age 22
5'11"" | 210 lbs
View Profile",350,1st(38:10.76)100 pts(38:10.76),6th(14:01.19)76 pts(14:01.19),15th(11:31.61)50 pts(11:31.61),16th(6:38.60)48 pts(6:38.60),16th(CAP)48 pts(CAP),26th(5:00.20)28 pts(5:00.20)
10,"DRESTROHM
Central East
Age 24
5'9"" | 185 lbs
View Profile",342,24th(41:41.98)32 pts(41:41.98),17th(15:53.17)46 pts(15:53.17),7th(9:39.83)72 pts(9:39.83),6th(6:09.93)76 pts(6:09.93),20th(CAP+5)40 pts(CAP+5),6th(3:51.97)76 pts(3:51.97)
11,"LUKESCHAFER
North Central
Age 24
5'8"" | 180 lbs
View Profile",332,2nd(38:13.58)94 pts(38:13.58),13th(15:17.60)54 pts(15:17.60),8th(9:45.77)68 pts(9:45.77),35th(7:44.19)10 pts(7:44.19),17T(CAP+3)46 pts(CAP+3),10th(4:06.28)60 pts(4:06.28)
12,"JOSEPHTORTORA
Central East
Age 27
5'10"" | 200 lbs
View Profile",318,3rd(38:23.18)88 pts(38:23.18),21st(16:15.77)38 pts(16:15.77),32T(CAP+56)16 pts(CAP+56),18th(6:46.69)44 pts(6:46.69),5th(15:16.10)80 pts(15:16.10),14th(4:09.01)52 pts(4:09.01)
13,"ZACHSOWDER
Central East
Age 26
5'8"" | 195 lbs
View Profile",302,33rd(43:23.08)14 pts(43:23.08),12th(15:02.01)56 pts(15:02.01),14th(11:27.82)52 pts(11:27.82),2nd(5:41.90)94 pts(5:41.90),21T(CAP+7)38 pts(CAP+7),16th(4:14.52)48 pts(4:14.52)
14,"JAMESLANCASTER
Central East
Age 30
6'0"" | 207 lbs
View Profile",282,29th(42:17.85)22 pts(42:17.85),4th(13:46.59)84 pts(13:46.59),38th(CAP+67)4 pts(CAP+67),17th(6:43.48)46 pts(6:43.48),8th(16:05.93)68 pts(16:05.93),11th(4:06.31)58 pts(4:06.31)
15,"DYLANMARTIN
North Central
Age 26
5'9"" | 190 lbs
View Profile",282,18th(41:09.30)44 pts(41:09.30),14th(15:38.20)52 pts(15:38.20),21st(12:28.28)38 pts(12:28.28),7th(6:12.13)72 pts(6:12.13),15th(16:59.00)50 pts(16:59.00),27th(5:00.75)26 pts(5:00.75)
16,"SPENCERPANCHIK
Central East
Age 22
5'8"" | 180 lbs
View Profile",278,36th(43:42.63)8 pts(43:42.63),27th(16:52.86)26 pts(16:52.86),6th(9:26.95)76 pts(9:26.95),13th(6:28.06)54 pts(6:28.06),9th(16:14.80)64 pts(16:14.80),15th(4:13.92)50 pts(4:13.92)
17,"SHANEMCBRIDE
North Central
Age 31
5'5"" | 180 lbs
View Profile",274,20th(41:18.94)40 pts(41:18.94),23rd(16:40.00)34 pts(16:40.00),13th(11:17.14)54 pts(11:17.14),10th(6:16.26)60 pts(6:16.26),24T(CAP+9)32 pts(CAP+9),13th(4:08.65)54 pts(4:08.65)
18,"AUSTINCAHOY
North Central
Age 26
6'0"" | 220 lbs
View Profile",248,35th(43:38.49)10 pts(43:38.49),9th(14:10.48)64 pts(14:10.48),32T(CAP+56)16 pts(CAP+56),14th(6:28.84)52 pts(6:28.84),19th(CAP+4)42 pts(CAP+4),9th(4:03.40)64 pts(4:03.40)
19,"KEVINSCHUETZ
North Central
Age 31
6'1"" | 205 lbs
View Profile",242,21st(41:31.61)38 pts(41:31.61),29T(CAP+3)22 pts(CAP+3),19th(12:27.39)42 pts(12:27.39),12th(6:24.16)56 pts(6:24.16),14th(16:52.67)52 pts(16:52.67),24th(4:51.92)32 pts(4:51.92)
20,"JOSHWOODHULL
Central East
Age 27
6'1"" | 200 lbs
View Profile",236,8th(39:20.61)68 pts(39:20.61),22nd(16:21.44)36 pts(16:21.44),28th(CAP+41)24 pts(CAP+41),33rd(7:40.28)14 pts(7:40.28),13th(16:51.92)54 pts(16:51.92),20th(4:28.23)40 pts(4:28.23)
21,"DARWINPEREZ
Central East
Age 29
5'7"" | 175 lbs
View Profile",216,26th(42:00.00)28 pts(42:00.00),26th(16:52.64)28 pts(16:52.64),11th(10:56.55)58 pts(10:56.55),29th(7:18.56)22 pts(7:18.56),28T(CAP+10)24 pts(CAP+10),12th(4:07.64)56 pts(4:07.64)
22,"BRYANWONG
Central East
Age 31
5'9"" | 203 lbs
View Profile",214,34th(43:29.17)12 pts(43:29.17),11th(14:23.00)58 pts(14:23.00),24th(CAP+3)32 pts(CAP+3),11th(6:20.12)58 pts(6:20.12),35T(CAP+16)10 pts(CAP+16),18th(4:18.35)44 pts(4:18.35)
23,"GEORGESTERNER
North Central
Age 19
5'8"" | 185 lbs
View Profile",214,12th(39:39.55)56 pts(39:39.55),35T(CAP+10)10 pts(CAP+10),20th(12:27.96)40 pts(12:27.96),15th(6:33.25)50 pts(6:33.25),28T(CAP+10)24 pts(CAP+10),23rd(4:51.15)34 pts(4:51.15)
24,"NICKMATHEW
North Central
Age 24
5'9"" | 195 lbs
View Profile",212,27th(42:08.00)26 pts(42:08.00),15th(15:38.77)50 pts(15:38.77),17th(11:34.97)46 pts(11:34.97),24th(7:06.10)32 pts(7:06.10),21T(CAP+7)38 pts(CAP+7),30th(5:08.69)20 pts(5:08.69)
25,"RYANSOWDER
Central East
Age 24
5'8"" | 190 lbs
View Profile",210,30th(42:22.41)20 pts(42:22.41),19th(15:54.74)42 pts(15:54.74),16th(11:32.03)48 pts(11:32.03),21st(6:59.44)38 pts(6:59.44),28T(CAP+10)24 pts(CAP+10),21st(4:43.76)38 pts(4:43.76)
26,"MARSHALLCREED
North Central
Age 28
5'7"" | 172 lbs
View Profile",206,5th(38:54.32)80 pts(38:54.32),16th(15:48.74)48 pts(15:48.74),22nd(12:32.99)36 pts(12:32.99),37th(7:46.53)6 pts(7:46.53),37th(CAP+17)6 pts(CAP+17),25th(4:57.17)30 pts(4:57.17)
27,"ZACHERYBUNTIN
North Central
Age 24
0'6"" | 205 lbs
View Profile",204,13th(40:06.39)54 pts(40:06.39),8th(14:06.32)68 pts(14:06.32),32T(CAP+56)16 pts(CAP+56),36th(7:44.93)8 pts(7:44.93),11th(16:38.73)58 pts(16:38.73),40th(CAP+10)0 pts(CAP+10)
28,"JOSIAHNAIG
North Central
Age 27
5'10"" | 200 lbs
View Profile",198,15th(40:33.33)50 pts(40:33.33),28th(16:55.01)24 pts(16:55.01),26th(CAP+24)28 pts(CAP+24),27th(7:14.79)26 pts(7:14.79),10th(16:15.28)60 pts(16:15.28),35th(5:46.53)10 pts(5:46.53)
29,"HAROLDFISHER
Central East
Age 21
5'8"" | 190 lbs
View Profile",178,31st(42:32.68)18 pts(42:32.68),31T(CAP+5)18 pts(CAP+5),30T(CAP+55)20 pts(CAP+55),5th(6:03.55)80 pts(6:03.55),31st(CAP+11)18 pts(CAP+11),28th(5:02.03)24 pts(5:02.03)
