RANKDetermined by total points. The athlete with the most points wins.,NAME,POINTSThe sum of the points awarded for each workout. Based on a points table.,EVENT 1,EVENT 2,EVENT 3,EVENT 4,EVENT 5,EVENT 6
1,"PATRICKVELLNER
Canada East
Age 28
5'11"" | 195 lbs
View Profile",558,3rd(36:59.00)88 pts(36:59.00),2nd(13:18.18)94 pts(13:18.18),2nd(9:00.33)94 pts(9:00.33),3rd(5:22.19)88 pts(5:22.19),1st(14:35.82)100 pts(14:35.82),2nd(3:56.36)94 pts(3:56.36)
2,"TIMPAULSON
North East
Age 28
6'1"" | 215 lbs
View Profile",476,20th(39:42.93)40 pts(39:42.93),6th(14:36.98)76 pts(14:36.98),1st(8:51.06)100 pts(8:51.06),4th(5:41.30)84 pts(5:41.30),3rd(15:17.06)88 pts(15:17.06),3rd(4:02.51)88 pts(4:02.51)
3,"CRAIGKENNEY
North East
Age 31
6'0"" | 203 lbs
View Profile",454,1st(36:23.87)100 pts(36:23.87),7th(14:42.98)72 pts(14:42.98),15th(12:15.36)50 pts(12:15.36),7th(6:10.30)72 pts(6:10.30),6th(16:27.59)76 pts(16:27.59),4th(4:08.34)84 pts(4:08.34)
4,"ALEXANDRECARON
Canada East
Age 22
5'11"" | 200 lbs
View Profile",394,27th(40:34.16)26 pts(40:34.16),3rd(13:44.08)88 pts(13:44.08),8th(10:55.99)68 pts(10:55.99),2nd(5:18.70)94 pts(5:18.70),15T(CAP+9)50 pts(CAP+9),8th(4:16.14)68 pts(4:16.14)
5,"MARQUANJONES
North East
Age 28
5'11"" | 200 lbs
View Profile",384,2nd(36:26.36)94 pts(36:26.36),14th(15:49.72)52 pts(15:49.72),9th(11:02.60)64 pts(11:02.60),23rd(6:46.79)34 pts(6:46.79),8th(16:31.52)68 pts(16:31.52),7th(4:16.03)72 pts(4:16.03)
6,"CODYMOONEY
North East
Age 24
6'0"" | 208 lbs
View Profile",358,13th(39:02.24)54 pts(39:02.24),20th(16:24.01)40 pts(16:24.01),6th(10:32.61)76 pts(10:32.61),9th(6:19.73)64 pts(6:19.73),10th(CAP+4)60 pts(CAP+4),9th(4:24.05)64 pts(4:24.05)
7,"DANIELVIGER
Canada East
Age 23
5'11"" | 195 lbs
View Profile",338,7th(37:58.95)72 pts(37:58.95),8th(14:57.05)68 pts(14:57.05),16th(12:16.59)48 pts(12:16.59),8th(6:12.67)68 pts(6:12.67),15T(CAP+9)50 pts(CAP+9),24th(5:14.84)32 pts(5:14.84)
8,"TYLERLEE
Canada East
Age 28
5'10"" | 200 lbs
View Profile",336,4th(37:24.84)84 pts(37:24.84),23T (CAP)34 pts(CAP),20th(CAP+6)40 pts(CAP+6),13th(6:28.19)54 pts(6:28.19),4th(16:01.24)84 pts(16:01.24),20th(4:56.96)40 pts(4:56.96)
9,"CHASESMITH
North East
Age 29
5'9"" | 195 lbs
View Profile",330,22nd(39:50.33)36 pts(39:50.33),1st(13:06.45)100 pts(13:06.45),33rd(CAP+66)14 pts(CAP+66),1st(5:17.19)100 pts(5:17.19),21T(CAP+10)38 pts(CAP+10),19th(4:54.53)42 pts(4:54.53)
10,"PAULTREMBLAY
Canada East
Age 31
5'10"" | 200 lbs
View Profile",330,36th(44:51.62)8 pts(44:51.62),11th(15:28.09)58 pts(15:28.09),26T(CAP+56)28 pts(CAP+56),5th(5:56.73)80 pts(5:56.73),12T(CAP+8)56 pts(CAP+8),1st(3:46.57)100 pts(3:46.57)
11,"SAMUELCOURNOYER
Canada East
Age 22
180 cm | 195 lbs
View Profile",318,9th(38:05.69)64 pts(38:05.69),23T (CAP)34 pts(CAP),3rd(10:01.42)88 pts(10:01.42),25th(6:57.39)30 pts(6:57.39),11th(CAP+6)58 pts(CAP+6),18th(4:53.59)44 pts(4:53.59)
12,"PETERSHAW
Canada East
Age 28
185 cm | 212 lbs
View Profile",316,12th(38:53.79)56 pts(38:53.79),10th(15:25.09)60 pts(15:25.09),21st(CAP+29)38 pts(CAP+29),27th(6:58.14)26 pts(6:58.14),12T(CAP+8)56 pts(CAP+8),5th(4:13.59)80 pts(4:13.59)
13,"NYCOLASJOYAL
Canada East
Age 24
5'10"" | 192 lbs
View Profile",314,16th(39:15.34)48 pts(39:15.34),9th(15:09.60)64 pts(15:09.60),17th(12:18.64)46 pts(12:18.64),34th(7:50.94)12 pts(7:50.94),2nd(15:05.48)94 pts(15:05.48),15th(4:51.23)50 pts(4:51.23)
14,"JOSHGERVAIS
Canada East
Age 26
178 cm | 190 lbs
View Profile",302,11th(38:51.13)58 pts(38:51.13),33T(CAP+18)14 pts(CAP+18),4th(10:10.86)84 pts(10:10.86),29th(7:07.12)22 pts(7:07.12),7th(16:30.91)72 pts(16:30.91),14th(4:49.83)52 pts(4:49.83)
15,"JEAN-SIMONROY-LEMAIRE
Canada East
Age 24
176 cm | 195 lbs
View Profile",290,26th(40:34.06)28 pts(40:34.06),5th(14:35.40)80 pts(14:35.40),22nd(CAP+38)36 pts(CAP+38),6th(6:03.38)76 pts(6:03.38),15T(CAP+9)50 pts(CAP+9),30th(5:52.69)20 pts(5:52.69)
