RANKDetermined by total points. The athlete with the most points wins.,NAME,POINTSThe sum of the points awarded for each workout. Based on a points table.,EVENT 1,EVENT 2,EVENT 3,EVENT 4,EVENT 5,EVENT 6
1,"ROMANKHRENNIKOV
Europe North
Age 23
182 cm | 97 kg
View Profile",500,2nd(36:38.96)94 pts(36:38.96),3rd(12:50.73)88 pts(12:50.73),3rd(9:34.49)88 pts(9:34.49),15th(6:31.10)50 pts(6:31.10),5th(16:55.95)80 pts(16:55.95),1st(3:42.91)100 pts(3:42.91)
2,"ADRIANMUNDWILER
Europe Central
Age 25
171 cm | 83 kg
View Profile",482,9th(38:34.30)64 pts(38:34.30),2nd(12:45.95)94 pts(12:45.95),4th(9:59.72)84 pts(9:59.72),1st(5:35.99)100 pts(5:35.99),12T(CAP+6)56 pts(CAP+6),4th(4:11.79)84 pts(4:11.79)
3,"LUKASHÖGBERG
Europe North
Age 27
183 cm | 211 lbs
View Profile",456,3rd(36:47.09)88 pts(36:47.09),6th(13:42.25)76 pts(13:42.25),7th(10:17.45)72 pts(10:17.45),6th(5:55.81)76 pts(5:55.81),7T(CAP+1)72 pts(CAP+1),7th(4:29.85)72 pts(4:29.85)
DQ,"ANDREYGANIN
Europe North
Age 34
185 cm | 104 kg
View Profile",448,17th(39:39.41)46 pts(39:39.41),1st(12:09.31)100 pts(12:09.31),23rd(CAP+35)34 pts(CAP+35),3rd(5:40.38)88 pts(5:40.38),1st(15:10.09)100 pts(15:10.09),5th(4:14.06)80 pts(4:14.06)
4,"BJÖRGVIN KARLGUÐMUNDSSON
Europe North
Age 25
178 cm | 185 lbs
View Profile",426,13th(39:01.19)54 pts(39:01.19),23rd(CAP+3)34 pts(CAP+3),2nd(8:41.95)94 pts(8:41.95),5th(5:53.73)80 pts(5:53.73),6th (CAP)76 pts(CAP),3rd(4:01.45)88 pts(4:01.45)
5,"FREDERIKAEGIDIUS
Europe North
Age 31
174 cm | 84 kg
View Profile",376,7th(37:56.89)72 pts(37:56.89),12th(14:58.91)56 pts(14:58.91),5th(10:10.44)80 pts(10:10.44),8th(5:57.41)68 pts(5:57.41),19T(CAP+10)42 pts(CAP+10),11th(4:54.00)58 pts(4:54.00)
6,"BRONISLAWOLENKOWICZ
Europe North
Age 29
182 cm | 100 kg
View Profile",356,39th(43:53.54)2 pts(43:53.54),8th(14:08.00)68 pts(14:08.00),15th(12:13.00)50 pts(12:13.00),4th(5:41.32)84 pts(5:41.32),4th(16:45.83)84 pts(16:45.83),8th(4:39.01)68 pts(4:39.01)
DQ,"GENAMALKOVSKIY
Europe North
Age 27
180 cm | 98 kg
View Profile",340,24th(40:57.47)32 pts(40:57.47),4th(13:01.75)84 pts(13:01.75),13th(12:02.37)54 pts(12:02.37),27th(7:08.10)26 pts(7:08.10),15th(CAP+8)50 pts(CAP+8),2nd(3:55.75)94 pts(3:55.75)
7,"JAKCORNTHWAITE
Europe Central
Age 27
179 cm | 92 kg
View Profile",334,11th(38:43.85)58 pts(38:43.85),20th(16:58.90)40 pts(16:58.90),20th(12:45.85)40 pts(12:45.85),7th(5:55.93)72 pts(5:55.93),16T(CAP+9)48 pts(CAP+9),6th(4:23.13)76 pts(4:23.13)
8,"LAZARĐUKIĆ
Europe Central
Age 22
183 cm | 93 kg
View Profile",322,21st(40:22.16)38 pts(40:22.16),7th(13:59.06)72 pts(13:59.06),10th(10:36.84)60 pts(10:36.84),18th(6:39.16)44 pts(6:39.16),10T(CAP+5)60 pts(CAP+5),16th(5:03.38)48 pts(5:03.38)
9,"WILLIAMKANE
Europe Central
Age 31
176 cm | 187 lbs
View Profile",318,16th(39:30.74)48 pts(39:30.74),30T(CAP+15)20 pts(CAP+15),8th(10:26.56)68 pts(10:26.56),26th(7:07.63)28 pts(7:07.63),2nd(16:27.44)94 pts(16:27.44),10th(4:49.97)60 pts(4:49.97)
10,"P DSAVAGE
Europe Central
Age 28
185 cm | 98 kg
View Profile",306,5th(37:26.90)80 pts(37:26.90),13th(15:08.73)54 pts(15:08.73),34T(CAP+67)12 pts(CAP+67),13th(6:21.09)54 pts(6:21.09),7T(CAP+1)72 pts(CAP+1),23rd(5:29.10)34 pts(5:29.10)
