RANKDetermined by total points. The athlete with the most points wins.,NAME,POINTSThe sum of the points awarded for each workout. Based on a points table.,EVENT 1,EVENT 2,EVENT 3,EVENT 4,EVENT 5,EVENT 6
1,"PABLOCHALFUN
South America
Age 25
173 cm | 88 kg
View Profile",488,5th(39:07.24)80 pts(39:07.24),17T(CAP+7)46 pts(CAP+7),5th(8:40.96)80 pts(8:40.96),1st(5:54.97)100 pts(5:54.97),2nd(CAP+7)94 pts(CAP+7),3rd(3:36.66)88 pts(3:36.66)
2,"LUISOSCAR MORA
Central America
Age 19
170 cm | 83 kg
View Profile",446,11th(40:03.60)58 pts(40:03.60),9th(16:50.43)64 pts(16:50.43),3rd(7:35.03)88 pts(7:35.03),2nd(5:55.58)94 pts(5:55.58),11T(CAP+18)58 pts(CAP+18),4th(3:43.07)84 pts(3:43.07)
3,"ANDRÉSANCHES
South America
Age 30
188 cm | 96 kg
View Profile",420,2nd(38:24.89)94 pts(38:24.89),1st(14:35.49)100 pts(14:35.49),29T(CAP+56)22 pts(CAP+56),8th(6:54.54)68 pts(6:54.54),4T(CAP+11)84 pts(CAP+11),14th(4:12.99)52 pts(4:12.99)
4,"NICOLÁSBIDARTE
South America
Age 24
174 cm | 84 kg
View Profile",408,7th(39:36.54)72 pts(39:36.54),12th(CAP+2)56 pts(CAP+2),9th(10:02.87)64 pts(10:02.87),9th(6:57.08)64 pts(6:57.08),3rd(CAP+10)88 pts(CAP+10),9th(3:58.46)64 pts(3:58.46)
5,"MANUELGALLEGOS
Central America
Age 25
174 cm | 81 kg
View Profile",396,6th(39:20.89)76 pts(39:20.89),2nd(15:23.85)94 pts(15:23.85),16th(11:16.98)48 pts(11:16.98),4th(6:19.46)84 pts(6:19.46),11T(CAP+18)58 pts(CAP+18),22nd(4:26.86)36 pts(4:26.86)
6,"MAXIMILIANOARIGOSSI
South America
Age 25
171 cm | 80 kg
View Profile",384,10th(39:58.15)60 pts(39:58.15),17T(CAP+7)46 pts(CAP+7),11th(10:14.90)58 pts(10:14.90),3rd(6:12.54)88 pts(6:12.54),21T(CAP+21)38 pts(CAP+21),2nd(3:35.63)94 pts(3:35.63)
7,"PABLOHABER
South America
Age 23
168 cm | 171 lbs
View Profile",380,23rd(41:46.47)34 pts(41:46.47),3rd(15:24.12)88 pts(15:24.12),18th(11:23.16)44 pts(11:23.16),5th(6:19.56)80 pts(6:19.56),11T(CAP+18)58 pts(CAP+18),6th(3:44.69)76 pts(3:44.69)
8,"ANDERONPRIMO
South America
Age 23
180 cm | 205 lbs
View Profile",380,18th(40:55.02)44 pts(40:55.02),7th(16:22.60)72 pts(16:22.60),6th(9:19.83)76 pts(9:19.83),6th(6:20.48)76 pts(6:20.48),9th(CAP+14)64 pts(CAP+14),16th(4:16.31)48 pts(4:16.31)
9,"EMMANUELMALDONADO
Central America
Age 28
0'5"" | 195 lbs
View Profile",358,8th(39:47.20)68 pts(39:47.20),21T(CAP+9)38 pts(CAP+9),20th(12:06.29)40 pts(12:06.29),16th(7:06.95)48 pts(7:06.95),4T(CAP+11)84 pts(CAP+11),5th(3:43.46)80 pts(3:43.46)
10,"MAUROACEVEDO
South America
Age 28
0'1"" | 80 kg
View Profile",356,30th(42:48.17)20 pts(42:48.17),5th(15:55.89)80 pts(15:55.89),13th(10:39.41)54 pts(10:39.41),18th(7:16.47)44 pts(7:16.47),11T(CAP+18)58 pts(CAP+18),1st(3:33.40)100 pts(3:33.40)
