RANKDetermined by total points. The athlete with the most points wins.,NAME,POINTSThe sum of the points awarded for each workout. Based on a points table.,EVENT 1,EVENT 2,EVENT 3,EVENT 4,EVENT 5,EVENT 6
1,"RASMUSANDERSEN
Africa Middle East
Age 26
183 cm | 215 lbs
View Profile",506,9th(39:25.55)64 pts(39:25.55),6th(14:58.39)76 pts(14:58.39),1st(9:52.49)100 pts(9:52.49),3rd(6:02.20)88 pts(6:02.20),4th(16:39.67)84 pts(16:39.67),2nd(4:16.65)94 pts(4:16.65)
2,"ELLIOTSIMMONDS
Africa Middle East
Age 24
185 cm | 185 lbs
View Profile",488,1st(36:12.81)100 pts(36:12.81),5th(14:51.40)80 pts(14:51.40),6th(10:45.22)76 pts(10:45.22),8th(6:31.05)68 pts(6:31.05),1st(15:41.32)100 pts(15:41.32),9th(4:46.75)64 pts(4:46.75)
3,"LUKASESSLINGER
Europe South
Age 25
181 cm | 200 lbs
View Profile",488,11th(39:28.89)58 pts(39:28.89),7th(15:01.88)72 pts(15:01.88),4th(10:23.35)84 pts(10:23.35),2nd(5:47.92)94 pts(5:47.92),5T(CAP+3)80 pts(CAP+3),1st(4:04.23)100 pts(4:04.23)
4,"WILLYGEORGES
Europe South
Age 25
179 cm | 86 kg
View Profile",474,4th(37:57.48)84 pts(37:57.48),4th(14:37.71)84 pts(14:37.71),19th(CAP+19)42 pts(CAP+19),1st(5:42.24)100 pts(5:42.24),3rd(16:17.07)88 pts(16:17.07),6th(4:32.14)76 pts(4:32.14)
5,"PHILHESKETH
Africa Middle East
Age 27
180 cm | 210 lbs
View Profile",448,13th(39:49.84)54 pts(39:49.84),2nd(14:16.54)94 pts(14:16.54),10th(12:50.88)60 pts(12:50.88),11th(6:45.84)58 pts(6:45.84),2nd(15:51.65)94 pts(15:51.65),3rd(4:20.06)88 pts(4:20.06)
6,"RUANDUVENAGE
Africa Middle East
Age 29
178 cm | 90 kg
View Profile",418,27th(41:45.26)26 pts(41:45.26),3rd(14:29.91)88 pts(14:29.91),3rd(10:06.51)88 pts(10:06.51),6th(6:17.95)76 pts(6:17.95),10th(CAP+6)60 pts(CAP+6),5th(4:29.67)80 pts(4:29.67)
7,"JASONSMITH
Africa Middle East
Age 34
185 cm | 195 lbs
View Profile",370,6th(38:50.91)76 pts(38:50.91),18th(16:57.03)44 pts(16:57.03),12th(12:56.34)56 pts(12:56.34),25th(7:48.67)30 pts(7:48.67),5T(CAP+3)80 pts(CAP+3),4th(4:22.11)84 pts(4:22.11)
8,"STEPHANEOSSANGA
Europe South
Age 27
177 cm | 87 kg
View Profile",366,7th(39:10.62)72 pts(39:10.62),14th(16:14.99)52 pts(16:14.99),15th(CAP+3)50 pts(CAP+3),7th(6:20.44)72 pts(6:20.44),9th(CAP+5)64 pts(CAP+5),12th(5:03.75)56 pts(5:03.75)
9,"ALANFOULIS
Africa Middle East
Age 32
176 cm | 192 lbs
View Profile",354,22nd(40:58.29)36 pts(40:58.29),8th(15:43.32)68 pts(15:43.32),21st(CAP+50)38 pts(CAP+50),4th(6:06.23)84 pts(6:06.23),8th(CAP+4)68 pts(CAP+4),10th(4:48.63)60 pts(4:48.63)
10,"ANTONYMONKS
Africa Middle East
Age 28
6'0"" | 88 kg
View Profile",338,10th(39:27.39)60 pts(39:27.39),19th (CAP)42 pts(CAP),25T(CAP+56)30 pts(CAP+56),13th(6:56.05)54 pts(6:56.05),5T(CAP+3)80 pts(CAP+3),7th(4:34.68)72 pts(4:34.68)
