RANKDetermined by total points. The athlete with the most points wins.,NAME,POINTSThe sum of the points awarded for each workout. Based on a points table.,EVENT 1,EVENT 2,EVENT 3,EVENT 4,EVENT 5,EVENT 6
1,"JAMESNEWBURY
Australasia
Age 27
177 cm | 87 kg
View Profile",546,1st(37:40.54)100 pts(37:40.54),1st(12:25.88)100 pts(12:25.88),9th(10:14.36)64 pts(10:14.36),1st(5:38.27)100 pts(5:38.27),2nd(15:43.72)94 pts(15:43.72),3rd(4:13.32)88 pts(4:13.32)
2,"DEANLINDER-LEIGHTON
Australasia
Age 27
172 cm | 87 kg
View Profile",446,7th(38:19.53)72 pts(38:19.53),6th(14:23.03)76 pts(14:23.03),1st(8:44.97)100 pts(8:44.97),12th(6:19.55)56 pts(6:19.55),4th(16:54.80)84 pts(16:54.80),11th(4:53.63)58 pts(4:53.63)
3,"KHANPORTER
Australasia
Age 28
182 cm | 200 lbs
View Profile",412,10th(38:53.04)60 pts(38:53.04),9th(15:14.50)64 pts(15:14.50),15th(11:43.51)50 pts(11:43.51),2nd(5:44.01)94 pts(5:44.01),8T(CAP+7)68 pts(CAP+7),6th(4:26.76)76 pts(4:26.76)
4,"ROYCEDUNNE
Australasia
Age 27
183 cm | 102 kg
View Profile",394,27th(42:11.59)26 pts(42:11.59),4th(14:07.99)84 pts(14:07.99),5th(10:00.50)80 pts(10:00.50),8th(6:12.37)68 pts(6:12.37),22T(CAP+14)36 pts(CAP+14),1st(4:05.02)100 pts(4:05.02)
5,"ZEKEGROVE
Australasia
Age 26
169 cm | 182 lbs
View Profile",384,21st(40:48.36)38 pts(40:48.36),17th(16:58.77)46 pts(16:58.77),13th(11:00.58)54 pts(11:00.58),5th(6:01.79)80 pts(6:01.79),7th(CAP+3)72 pts(CAP+3),2nd(4:11.45)94 pts(4:11.45)
6,"BAYDENBROWN
Australasia
Age 23
177 cm | 90 kg
View Profile",380,5th(38:10.33)80 pts(38:10.33),2nd(13:35.08)94 pts(13:35.08),34T(CAP+56)12 pts(CAP+56),3rd(6:00.41)88 pts(6:00.41),12th(CAP+8)56 pts(CAP+8),15th(5:01.45)50 pts(5:01.45)
7,"ROBWATT
Australasia
Age 27
188 cm | 198 lbs
View Profile",380,19th(40:08.84)42 pts(40:08.84),3rd(14:03.98)88 pts(14:03.98),31T(CAP+38)18 pts(CAP+38),6th(6:02.20)76 pts(6:02.20),3rd(15:59.35)88 pts(15:59.35),8th(4:37.26)68 pts(4:37.26)
8,"BRANDONSWAN
Australasia
Age 27
175 cm | 195 lbs
View Profile",376,11th(38:58.06)58 pts(38:58.06),7th(14:27.66)72 pts(14:27.66),4th(9:40.44)84 pts(9:40.44),14th(6:23.07)52 pts(6:23.07),8T(CAP+7)68 pts(CAP+7),19th(5:10.46)42 pts(5:10.46)
9,"MATTMCLEOD
Australasia
Age 25
168 cm | 80 kg
View Profile",362,3rd(37:53.47)88 pts(37:53.47),15th(16:45.46)50 pts(16:45.46),6th(10:03.76)76 pts(10:03.76),13th(6:19.82)54 pts(6:19.82),20T(CAP+11)40 pts(CAP+11),13th(4:59.53)54 pts(4:59.53)
10,"LUKEFISO
Australasia
Age 28
176 cm | 88 kg
View Profile",354,8th(38:26.37)68 pts(38:26.37),16th(16:54.42)48 pts(16:54.42),7th(10:12.15)72 pts(10:12.15),10th(6:13.37)60 pts(6:13.37),8T(CAP+7)68 pts(CAP+7),21st(5:22.96)38 pts(5:22.96)
