RANKDetermined by total points. The athlete with the most points wins.,NAME,POINTSThe sum of the points awarded for each workout. Based on a points table.,EVENT 1,EVENT 2,EVENT 3,EVENT 4,EVENT 5,EVENT 6
1,"SEANSWEENEY
South West
Age 26
5'9"" | 195 lbs
View Profile",524,3rd(41:07.44)88 pts(41:07.44),1st(14:39.09)100 pts(14:39.09),5th(10:19.00)80 pts(10:19.00),8th(6:54.89)68 pts(6:54.89),3rd (CAP)88 pts(CAP),1st(4:00.23)100 pts(4:00.23)
2,"ROGELIOGAMBOA
South Central
Age 31
5'8"" | 200 lbs
View Profile",498,7th(41:31.03)72 pts(41:31.03),10th(16:20.17)60 pts(16:20.17),4th(10:12.08)84 pts(10:12.08),1st(5:59.44)100 pts(5:59.44),2nd(16:59.61)94 pts(16:59.61),3rd(4:37.28)88 pts(4:37.28)
3,"BRANDONLUCKETT
South Central
Age 23
6'1"" | 200 lbs
View Profile",494,4th(41:20.45)84 pts(41:20.45),24T(CAP+13)32 pts(CAP+13),1st(9:10.57)100 pts(9:10.57),2nd(6:16.18)94 pts(6:16.18),1st(16:34.79)100 pts(16:34.79),4th(4:50.37)84 pts(4:50.37)
4,"LOGANCOLLINS
South Central
Age 27
5'7"" | 175 lbs
View Profile",450,10th(41:55.10)60 pts(41:55.10),9th(16:14.08)64 pts(16:14.08),3rd(9:56.08)88 pts(9:56.08),6th(6:41.72)76 pts(6:41.72),8th(CAP+8)68 pts(CAP+8),2nd(4:19.00)94 pts(4:19.00)
5,"JAREDENDERTON
South West
Age 29
5'6"" | 195 lbs
View Profile",446,11th(41:58.18)58 pts(41:58.18),3rd(14:55.83)88 pts(14:55.83),8th(11:06.27)68 pts(11:06.27),3rd(6:21.60)88 pts(6:21.60),9T(CAP+9)64 pts(CAP+9),5th(4:52.07)80 pts(4:52.07)
6,"TYLEREGGIMANN
South West
Age 25
5'10"" | 200 lbs
View Profile",372,17th(43:08.41)46 pts(43:08.41),5th(14:56.76)80 pts(14:56.76),17th(12:56.00)46 pts(12:56.00),5th(6:35.35)80 pts(6:35.35),4T(CAP+6)84 pts(CAP+6),22nd(5:49.74)36 pts(5:49.74)
7,"MITCHSPJUT
South West
Age 24
0'5"" | 193 lbs
View Profile",370,6th(41:31.02)76 pts(41:31.02),4th(14:56.39)84 pts(14:56.39),10th(11:40.39)60 pts(11:40.39),16th(7:19.28)48 pts(7:19.28),4T(CAP+6)84 pts(CAP+6),31st(6:28.38)18 pts(6:28.38)
8,"TOMMYVINAS
South West
Age 21
5'11"" | 205 lbs
View Profile",356,8th(41:35.76)68 pts(41:35.76),2nd(14:50.70)94 pts(14:50.70),18th(CAP+2)44 pts(CAP+2),29th(8:13.76)22 pts(8:13.76),9T(CAP+9)64 pts(CAP+9),9th(5:10.14)64 pts(5:10.14)
9,"WESTONNEIMAN
South Central
Age 29
5'10"" | 199 lbs
View Profile",332,29th(45:04.14)22 pts(45:04.14),7th(15:37.93)72 pts(15:37.93),12th(12:11.77)56 pts(12:11.77),11th(6:56.45)58 pts(6:56.45),16th(CAP+14)48 pts(CAP+14),6th(4:57.04)76 pts(4:57.04)
10,"VINNYCASEY
South West
Age 23
5'9"" | 185 lbs
View Profile",308,16th(43:01.61)48 pts(43:01.61),19T(CAP+9)42 pts(CAP+9),7th(10:59.00)72 pts(10:59.00),12th(7:00.31)56 pts(7:00.31),17T(CAP+15)46 pts(CAP+15),18th(5:41.46)44 pts(5:41.46)
11,"MATTMORTON
South Central
Age 29
6'1"" | 208 lbs
View Profile",306,1st(39:38.72)100 pts(39:38.72),15th(CAP+4)50 pts(CAP+4),29T(CAP+67)22 pts(CAP+67),20th(7:32.01)40 pts(7:32.01),13th(CAP+11)54 pts(CAP+11),20th(5:47.20)40 pts(5:47.20)
12,"CHANTZRAMOS
South West
Age 28
6'0"" | 195 lbs
View Profile",306,2nd(40:08.90)94 pts(40:08.90),16th(CAP+5)48 pts(CAP+5),23T(CAP+56)34 pts(CAP+56),15th(7:16.74)50 pts(7:16.74),14T(CAP+13)52 pts(CAP+13),26th(6:07.60)28 pts(6:07.60)
