RANKDetermined by total points. The athlete with the most points wins.,NAME,POINTSThe sum of the points awarded for each workout. Based on a points table.,EVENT 1,EVENT 2,EVENT 3,EVENT 4,EVENT 5,EVENT 6
1,"BRENTFIKOWSKI
Canada West
Age 27
6'2"" | 215 lbs
View Profile",488,5th(38:16.36)80 pts(38:16.36),11th(14:12.61)58 pts(14:12.61),6th(9:11.81)76 pts(9:11.81),5th(5:56.49)80 pts(5:56.49),1st(13:30.03)100 pts(13:30.03),2nd(3:33.92)94 pts(3:33.92)
2,"COLESAGER
West Coast
Age 27
5'10"" | 200 lbs
View Profile",486,10th(39:09.88)60 pts(39:09.88),3rd(13:13.06)88 pts(13:13.06),2nd(8:34.07)94 pts(8:34.07),12th(6:19.10)56 pts(6:19.10),3rd(14:58.53)88 pts(14:58.53),1st(3:28.12)100 pts(3:28.12)
3,"JOSHBRIDGES
West Coast
Age 35
5'5"" | 173 lbs
View Profile",434,3rd(38:08.31)88 pts(38:08.31),9th(14:01.80)64 pts(14:01.80),9th(9:50.06)64 pts(9:50.06),3rd(5:52.12)88 pts(5:52.12),7th(15:58.27)72 pts(15:58.27),11th(4:17.08)58 pts(4:17.08)
4,"CODYANDERSON
West Coast
Age 26
5'7"" | 170 lbs
View Profile",392,31st(41:53.01)18 pts(41:53.01),22nd(15:56.08)36 pts(15:56.08),1st(8:15.74)100 pts(8:15.74),2nd(5:50.92)94 pts(5:50.92),12th(16:49.56)56 pts(16:49.56),3rd(3:38.79)88 pts(3:38.79)
5,"MITCHELSTEVENSON
West Coast
Age 25
5'9"" | 185 lbs
View Profile",386,6th(38:19.43)76 pts(38:19.43),16th(14:41.03)48 pts(14:41.03),13th(10:51.05)54 pts(10:51.05),6th(6:01.73)76 pts(6:01.73),8th(16:09.17)68 pts(16:09.17),9th(4:10.39)64 pts(4:10.39)
6,"GEORGESANCHEZ
West Coast
Age 27
6'1"" | 210 lbs
View Profile",358,16th(39:32.68)48 pts(39:32.68),5th(13:29.08)80 pts(13:29.08),5th(9:01.61)80 pts(9:01.61),26th(6:58.09)28 pts(6:58.09),15T(CAP+4)50 pts(CAP+4),7th(4:08.69)72 pts(4:08.69)
7,"JASONCARROLL
West Coast
Age 29
5'10"" | 185 lbs
View Profile",354,1st(37:23.56)100 pts(37:23.56),18th(14:58.04)44 pts(14:58.04),15th(11:21.53)50 pts(11:21.53),20th(6:36.88)40 pts(6:36.88),14th(CAP)52 pts(CAP),8th(4:09.18)68 pts(4:09.18)
8,"GARRETFISHER
West Coast
Age 27
6'2"" | 217 lbs
View Profile",350,9th(38:51.19)64 pts(38:51.19),2nd(13:08.47)94 pts(13:08.47),16th(11:30.49)48 pts(11:30.49),17th(6:30.52)46 pts(6:30.52),31T(CAP+13)18 pts(CAP+13),5th(3:48.49)80 pts(3:48.49)
9,"CHRISTIANLUCERO
West Coast
Age 25
5'9"" | 191 lbs
View Profile",348,25th(40:50.97)30 pts(40:50.97),6th(13:32.09)76 pts(13:32.09),11th(10:20.00)58 pts(10:20.00),4th(5:53.01)84 pts(5:53.01),18T(CAP+5)44 pts(CAP+5),12th(4:21.51)56 pts(4:21.51)
10,"ANDREJORDAN
West Coast
Age 20
5'10"" | 190 lbs
View Profile",338,4th(38:11.00)84 pts(38:11.00),31T(CAP+2)18 pts(CAP+2),14th(11:21.01)52 pts(11:21.01),9th(6:08.27)64 pts(6:08.27),5th(15:19.57)80 pts(15:19.57),20th(4:42.68)40 pts(4:42.68)
11,"JONATHANGIBSON
Canada West
Age 28
6'2"" | 220 lbs
View Profile",332,11th(39:11.44)58 pts(39:11.44),1st(12:24.23)100 pts(12:24.23),34th(CAP+56)12 pts(CAP+56),19th(6:35.85)42 pts(6:35.85),2nd(14:18.98)94 pts(14:18.98),27th(5:04.58)26 pts(5:04.58)
12,"MITCHBARNARD
Canada West
Age 28
5'8"" | 188 lbs
View Profile",330,12th(39:22.83)56 pts(39:22.83),10th(14:11.21)60 pts(14:11.21),19th(11:58.39)42 pts(11:58.39),1st(5:33.10)100 pts(5:33.10),9th(16:28.39)64 pts(16:28.39),36th(CAP+7)8 pts(CAP+7)
13,"CAMERONPERNICH
West Coast
Age 24
6'1"" | 220 lbs
View Profile",296,21st(40:25.17)38 pts(40:25.17),17th(14:53.55)46 pts(14:53.55),22nd(12:37.80)36 pts(12:37.80),13th(6:19.50)54 pts(6:19.50),21T(CAP+7)38 pts(CAP+7),4th(3:44.58)84 pts(3:44.58)
14,"JUSTINMEDEIROS
West Coast
Age 19
5'9"" | 190 lbs
View Profile",290,13th(39:23.71)54 pts(39:23.71),27th(16:35.75)26 pts(16:35.75),12th(10:34.41)56 pts(10:34.41),28th(7:01.80)24 pts(7:01.80),4th(15:16.27)84 pts(15:16.27),17th(4:34.09)46 pts(4:34.09)
15,"BENSTONEBERG
West Coast
Age 31
5'7"" | 180 lbs
View Profile",276,17th(39:34.03)46 pts(39:34.03),4th(13:23.43)84 pts(13:23.43),17th(11:34.70)46 pts(11:34.70),27th(7:01.75)26 pts(7:01.75),15T(CAP+4)50 pts(CAP+4),28th(5:08.27)24 pts(5:08.27)
16,"MALACHIBENNETT
West Coast
Age 26
6'0"" | 197 lbs
View Profile",264,22nd(40:30.44)36 pts(40:30.44),24th(16:08.86)32 pts(16:08.86),7th(9:20.08)72 pts(9:20.08),34th(7:38.19)12 pts(7:38.19),11th(16:47.17)58 pts(16:47.17),13th(4:24.88)54 pts(4:24.88)
17,"JEFFPATZER
West Coast
Age 30
5'6"" | 175 lbs
View Profile",256,32nd(42:19.63)16 pts(42:19.63),12th(14:24.26)56 pts(14:24.26),4th(8:53.91)84 pts(8:53.91),22nd(6:43.73)36 pts(6:43.73),27T(CAP+10)26 pts(CAP+10),21st(4:45.29)38 pts(4:45.29)
18,"JOHNNYMEDINA III
West Coast
Age 23
5'7"" | 178 lbs
View Profile",254,30th(41:47.70)20 pts(41:47.70),23rd(16:03.97)34 pts(16:03.97),3rd(8:51.41)88 pts(8:51.41),8th(6:04.48)68 pts(6:04.48),33rd(CAP+18)14 pts(CAP+18),25th(4:52.68)30 pts(4:52.68)
19,"ERICCARMODY
West Coast
Age 30
5'11"" | 200 lbs
View Profile",252,7th(38:25.92)72 pts(38:25.92),15th(14:35.11)50 pts(14:35.11),24th(12:57.93)32 pts(12:57.93),25th(6:53.60)30 pts(6:53.60),15T(CAP+4)50 pts(CAP+4),31st(5:39.04)18 pts(5:39.04)
20,"DANEMCLAUGHLIN
West Coast
Age 31
6'1"" | 190 lbs
View Profile",252,14th(39:26.56)52 pts(39:26.56),8th(14:01.06)68 pts(14:01.06),30T(CAP+55)20 pts(CAP+55),11th(6:18.10)58 pts(6:18.10),31T(CAP+13)18 pts(CAP+13),22nd(4:49.42)36 pts(4:49.42)
21,"KYLEKLEINSCHMIDT
West Coast
Age 36
6'0"" | 205 lbs
View Profile",248,28th(41:00.60)24 pts(41:00.60),19th(15:27.44)42 pts(15:27.44),27T(CAP+18)26 pts(CAP+18),16th(6:30.44)48 pts(6:30.44),6th(15:53.81)76 pts(15:53.81),24th(4:52.60)32 pts(4:52.60)
22,"CHRISDETMERING
West Coast
Age 28
5'9"" | 195 lbs
View Profile",244,34th(43:28.68)12 pts(43:28.68),25th(16:20.83)30 pts(16:20.83),8th(9:40.91)68 pts(9:40.91),14th(6:24.45)52 pts(6:24.45),29th(CAP+11)22 pts(CAP+11),10th(4:10.78)60 pts(4:10.78)
23,"MARKPFEIFER
West Coast
Age 33
5'9"" | 177 lbs
View Profile",238,27th(40:58.09)26 pts(40:58.09),20th(15:40.05)40 pts(15:40.05),10th(10:19.15)60 pts(10:19.15),15th(6:27.11)50 pts(6:27.11),23rd(CAP+8)34 pts(CAP+8),26th(4:56.48)28 pts(4:56.48)
24,"JOHN-PAULHETHCOCK
West Coast
Age 25
5'10"" | 192 lbs
View Profile",230,15th(39:32.36)50 pts(39:32.36),30th(16:59.61)20 pts(16:59.61),29th(CAP+21)22 pts(CAP+21),31st(7:15.31)18 pts(7:15.31),18T(CAP+5)44 pts(CAP+5),6th(4:05.93)76 pts(4:05.93)
25,"NEALMADDOX
West Coast
Age 40
5'10"" | 210 lbs
View Profile",220,37th(43:59.91)6 pts(43:59.91),14th(14:30.23)52 pts(14:30.23),30T(CAP+55)20 pts(CAP+55),10th(6:16.06)60 pts(6:16.06),24T(CAP+9)32 pts(CAP+9),15th(4:31.80)50 pts(4:31.80)
26,"TYLERTOSUNIAN
West Coast
Age 27
5'7"" | 182 lbs
View Profile",218,20th(39:54.77)40 pts(39:54.77),36th(CAP+18)8 pts(CAP+18),35T(CAP+67)10 pts(CAP+67),7th(6:02.34)72 pts(6:02.34),20th(CAP+6)40 pts(CAP+6),16th(4:33.44)48 pts(4:33.44)
27,"AMADORARTEAGA
West Coast
Age 23
5'9"" | 194 lbs
View Profile",214,8th(38:42.43)68 pts(38:42.43),28th(16:44.64)24 pts(16:44.64),23rd(12:47.66)34 pts(12:47.66),23rd(6:48.25)34 pts(6:48.25),21T(CAP+7)38 pts(CAP+7),32nd(5:50.91)16 pts(5:50.91)
28,"VINNIECATRICALA
West Coast
Age 29
6'3"" | 220 lbs
View Profile",204,36th(43:43.11)8 pts(43:43.11),13th(14:25.29)54 pts(14:25.29),27T(CAP+18)26 pts(CAP+18),29th(7:06.47)22 pts(7:06.47),10th(16:44.85)60 pts(16:44.85),23rd(4:51.44)34 pts(4:51.44)
29,"TANNERSTAHL
West Coast
Age 22
5'9"" | 180 lbs
View Profile",202,24th(40:40.91)32 pts(40:40.91),26th(16:25.77)28 pts(16:25.77),25th (CAP)30 pts(CAP),33rd(7:23.45)14 pts(7:23.45),13th(16:57.64)54 pts(16:57.64),18th(4:35.60)44 pts(4:35.60)
30,"MIKEBROWN
West Coast
Age 32
5'9"" | 205 lbs
View Profile",200,19th(39:52.52)42 pts(39:52.52),7th(13:43.84)72 pts(13:43.84),39th(CAP+114)2 pts(CAP+114),21st(6:40.23)38 pts(6:40.23),24T(CAP+9)32 pts(CAP+9),33rd(5:53.03)14 pts(5:53.03)
31,"RAPHAELDURAND
West Coast
Age 27
5'9"" | 0 lb
View Profile",172,26th(40:54.78)28 pts(40:54.78),31T(CAP+2)18 pts(CAP+2),30T(CAP+55)20 pts(CAP+55),24th(6:49.11)32 pts(6:49.11),24T(CAP+9)32 pts(CAP+9),19th(4:37.79)42 pts(4:37.79)
32,"HUNTERBRITT
West Coast
Age 23
5'10"" | 188 lbs
View Profile",140,35th(43:31.90)10 pts(43:31.90),34th(CAP+15)12 pts(CAP+15),18th(11:45.23)44 pts(11:45.23),35th(7:39.54)10 pts(7:39.54),34th(CAP+21)12 pts(CAP+21),14th(4:29.04)52 pts(4:29.04)
33,"ERICEVANS
West Coast
Age 27
5'10"" | 178 lbs
View Profile",130,29th(41:28.62)22 pts(41:28.62),37th(CAP+25)6 pts(CAP+25),21st(12:20.27)38 pts(12:20.27),32nd(7:22.08)16 pts(7:22.08),27T(CAP+10)26 pts(CAP+10),29th(5:10.80)22 pts(5:10.80)
34,"STEVENBIDWELL
West Coast
Age 23
5'9"" | 180 lbs
View Profile",106,18th(39:48.54)44 pts(39:48.54),39th(CAP+53)2 pts(CAP+53),30T(CAP+55)20 pts(CAP+55),36th(7:54.52)8 pts(7:54.52),30th(CAP+12)20 pts(CAP+12),34th(6:13.53)12 pts(6:13.53)
35,"TYLERWILCOX
West Coast
Age 26
5'10"" | 185 lbs
View Profile",106,38th(45:10.84)4 pts(45:10.84),31T(CAP+2)18 pts(CAP+2),35T(CAP+67)10 pts(CAP+67),18th(6:33.81)44 pts(6:33.81),35th(CAP+22)10 pts(CAP+22),30th(5:16.70)20 pts(5:16.70)
36,"TANNERSTURM
West Coast
Age 26
5'8"" | 175 lbs
View Profile",82,23rd(40:32.92)34 pts(40:32.92),38th(CAP+35)4 pts(CAP+35),35T(CAP+67)10 pts(CAP+67),30th(7:09.57)20 pts(7:09.57),36th(CAP+25)8 pts(CAP+25),37th(CAP+23)6 pts(CAP+23)
37,"NATHANPONTIOUS
West Coast
Age 27
6'0"" | 185 lbs
View Profile",56,33rd(43:22.92)14 pts(43:22.92),35th(CAP+17)10 pts(CAP+17),35T(CAP+67)10 pts(CAP+67),37th(8:39.40)6 pts(8:39.40),37th(CAP+35)6 pts(CAP+35),35th(6:41.06)10 pts(6:41.06)
38,"JOESCALI
Canada West
Age 32
6'0"" | 195 lbs
View Profile",144,2nd(37:40.17)94 pts(37:40.17),29th(16:54.54)22 pts(16:54.54),26th(CAP+8)28 pts(CAP+8),WD (--),WD (--),WD (--)
39,"MARLONAZURDIA
Canada West
Age 32
176 cm | 194 lbs
View Profile",80,39th(45:51.96)2 pts(45:51.96),21st(15:41.74)38 pts(15:41.74),20th(12:16.34)40 pts(12:16.34),WD (--),WD (--),WD (--)
