RANKDetermined by total points. The athlete with the fewest points wins.,NAME,POINTSThe sum of an athlete's workout rankings. Based on a points-per-place ranking system.,18.1,18.2,18.2A,18.3,18.4,18.5
1,"MATHEWFRASERACCEPTED
Central East
Age 28
67 in | 190 lb
View Profile",97,"4th (476 reps)14 rounds +
8 toes-to-bars
10 clean & jerks
10 caloriesJudged by Anthony Jay Wilkerson at CrossFit Mayhem.","49th(4:02)110 reps
380 lb.(4:02)Judged by Matt O'Keefe at CrossFit Columbus.",21st (380 lb)380 lb.(4:02)Judged by Matt O'Keefe at CrossFit Columbus.,"17th (916 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
100 double-unders
20 snatches
100 double-unders(13:59)Judged by Darren Hunsucker at CrossFit Mayhem.",5th (6:39)165 reps(6:39)Judged by Angelo Dicicco at CrossFit Mayhem.,"1st (198 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 21 PU 
24 thr. 6 PUJudged by Lindy Barber at CrossFit Mayhem."
2,"ALEXVIGNEAULTACCEPTED
Canada East
Age 26
71 in | 208 lb
View Profile",439,"11th (472 reps)14 rounds +
8 toes-to-bars
10 clean & jerks
6 caloriesJudged by Alice Guérin at CrossFit Quebec City.","249th(4:18)110 reps
382 lb.(4:18)Judged by Alice Guérin at CrossFit Quebec City.",17th (382 lb)382 lb.(4:18)Judged by Alice Guérin at CrossFit Quebec City.,"109th(816 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
100 double-unders
20 snatches(13:17)Judged by Alice Guérin at CrossFit Quebec City.",7th (6:48)165 reps(6:48)Judged by Alice Guérin at CrossFit Quebec City.,"46th (179 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 21 PU 
11 thr.Judged by Benjamin Hebert at CrossFit Quebec City."
3,"WILLYGEORGESACCEPTED
Europe South
Age 25
179 cm | 86 kg
View Profile",596,"43rd (460 reps)14 rounds +
8 toes-to-bars
4 clean & jerksJudged by Anthony De Giacinto at CrossFit DBS 83.","223rd(4:17)110 reps
364 lb.(4:17)Judged by Mylene Jankovits at CrossFit DBS 83.",122nd(364 lb)364 lb.(4:17)Judged by Mylene Jankovits at CrossFit DBS 83.,"38th (876 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
100 double-unders
20 snatches
60 double-unders(12:42)Judged by Mylene Jankovits at CrossFit DBS 83.",165th (8:21)165 reps(8:21)Judged by Mylene Jankovits at CrossFit DBS 83.,"5th (188 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 21 PU 
20 thr.Judged by Mylene Jankovits at CrossFit DBS 83."
4,"JEAN-SIMONROY-LEMAIREACCEPTED
Canada East
Age 24
176 cm | 195 lb
View Profile",681,"18th (468 reps)14 rounds +
8 toes-to-bars
10 clean & jerks
2 caloriesJudged by Mathieu Gravel at Tonic CrossFit.","26th(3:58)110 reps
346 lb.(3:58)Judged by Mathieu Gravel at Tonic CrossFit.",396th(346 lb)346 lb.(3:58)Judged by Mathieu Gravel at Tonic CrossFit.,"112th(816 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
100 double-unders
20 snatches(13:20)Judged by Mathieu Gravel at Tonic CrossFit.",75th (7:43)165 reps(7:43)Judged by Mathieu Gravel at Tonic CrossFit.,"54th (178 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 21 PU 
10 thr.Judged by Isabelle Chouinard at Tonic CrossFit."
5,"PATRICKVELLNERACCEPTED
Canada East
Age 28
71 in | 195 lb
View Profile",706,"4th (476 reps)14 rounds +
8 toes-to-bars
10 clean & jerks
10 caloriesJudged by Jonathan Mulder at CrossFit Solid Ground.","78th(4:06)110 reps
343 lb.(4:06)Judged by Justin Tamane at CrossFit Solid Ground.",501st(343 lb)343 lb.(4:06)Judged by Justin Tamane at CrossFit Solid Ground.,"16th (917 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
100 double-unders
20 snatches
100 double-unders
1 bar muscle-ups(13:55)Judged by Justin Tamane at CrossFit Solid Ground.",9th (6:49)165 reps(6:49)Judged by Justin Tamane at CrossFit Solid Ground.,"98th (174 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 21 PU 
6 thr.Judged by Jonathan Mulder at CrossFit Solid Ground."
6,"ALEXANDRECARONACCEPTED
Canada East
Age 22
71 in | 200 lb
View Profile",813,"143rd (448 reps)14 rounds +
0 toes-to-barsJudged by Anne at CrossFit Levis.","5th (3:49)110 reps
347 lb.(3:49)Judged by David Cyr at CrossFit Levis.",348th(347 lb)347 lb.(3:49)Judged by David Cyr at CrossFit Levis.,"100th(816 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
100 double-unders
20 snatches(13:09)Judged by Anne at CrossFit Levis.",61st (7:38)165 reps(7:38)Judged by Anne at CrossFit Levis.,"156th(171 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 21 PU 
3 thr.Judged by Fred Bissonnette at CrossFit Levis."
7,"STREATHOERNERACCEPTED
North Central
Age 23
69 in | 198 lb
View Profile",826,"34th (462 reps)14 rounds +
8 toes-to-bars
6 clean & jerksJudged by Chase Bushaw at CrossFit Kilo II.","146th(4:12)110 reps
342 lb.(4:12)Judged by Chase Bushaw at CrossFit Kilo II.",524th(342 lb)342 lb.(4:12)Judged by Chase Bushaw at CrossFit Kilo II.,"63rd (841 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
100 double-unders
20 snatches
25 double-unders(13:02)Judged by Luke Schafer at CrossFit Cedar Rapids.",32nd (7:18)165 reps(7:18)Judged by Austin Nedelcoff at CrossFit Kilo II.,"27th (181 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 21 PU 
13 thr.Judged by Mikko Aronpaa at CrossFit Alioth."
8,"LOGANCOLLINSACCEPTED
South Central
Age 27
67 in | 175 lb
View Profile",836,"289th (441 reps)13 rounds +
8 toes-to-bars
10 clean & jerks
7 caloriesJudged by Sara Singer at CrossFit Rejoice.","63rd(4:04)110 reps
347 lb.(4:04)Judged by Derek Geels at CrossFit Rejoice.",349th(347 lb)347 lb.(4:04)Judged by Derek Geels at CrossFit Rejoice.,"8th (922 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
100 double-unders
20 snatches
100 double-unders
6 bar muscle-ups(13:40)Judged by Derek Geels at CrossFit Rejoice.",73rd (7:42)165 reps(7:42)Judged by Derek Geels at CrossFit Rejoice.,"54th (178 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 21 PU 
10 thr.Judged by Derek Geels at CrossFit Rejoice."
9,"TIMPAULSONACCEPTED
North East
Age 28
73 in | 215 lb
View Profile",843,"105th (452 reps)14 rounds +
4 toes-to-barsJudged by Darrin Gardner at CrossFit Pallas.","78th(4:06)110 reps
345 lb.(4:06)Judged by Darrin Gardner at CrossFit Pallas.",415th(345 lb)345 lb.(4:06)Judged by Darrin Gardner at CrossFit Pallas.,"156th(810 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
100 double-unders
14 snatches(13:33)Judged by Darrin Gardner at CrossFit Pallas.",43rd (7:28)165 reps(7:28)Judged by Darrin Gardner at CrossFit Pallas.,"46th (179 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 21 PU 
11 thr.Judged by Darrin Gardner at CrossFit Pallas."
10,"RICHARDFRONING JR.TEAM
Central East
Age 30
69 in | 198 lb
View Profile",848,"183rd (447 reps)13 rounds +
8 toes-to-bars
10 clean & jerks
13 caloriesJudged by Darren Hunsucker at CrossFit Mayhem.","129th(4:11)110 reps
343 lb.(4:11)Judged by Darren Hunsucker at CrossFit Mayhem.",502nd(343 lb)343 lb.(4:11)Judged by Darren Hunsucker at CrossFit Mayhem.,"7th (922 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
100 double-unders
20 snatches
100 double-unders
6 bar muscle-ups(13:38)Judged by Darren Hunsucker at CrossFit Mayhem.",11th (6:52)165 reps(6:52)Judged by Darren Hunsucker at CrossFit Mayhem.,"16th (183 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 21 PU 
15 thr.Judged by Darren Hunsucker at CrossFit Mayhem."
